id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vv_20150402t044345_20150402t044410_005300_006b56_001@scaled|2015-04-02 04:43:45|2015-04-02 04:43:46|-8.10940564185348|-20.8489814884539|22.2023753102471|8.1117536049702|1.95973072449325|3.84054451252283|-24.1661449808217|-8495575.53851854|11046390|12094010|1047620
db_s1a_iw_grd_vv_20150409t043511_20150409t043536_005402_006de5_001@scaled|2015-04-09 04:35:11|2015-04-09 04:35:12|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150412t161031_20150412t161056_005453_006f3c_001@scaled|2015-04-12 16:10:31|2015-04-12 16:10:32|-7.97934532613|-24.1484115308225|6.02273446329699|7.97941934945797|1.98265538638383|3.93092238115683|-24.8473440532925|-8359369.62663226|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150414t044321_20150414t044346_005475_006fdf_001@scaled|2015-04-14 04:43:21|2015-04-14 04:43:22|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150421t043511_20150421t043536_005577_00722e_001@scaled|2015-04-21 04:35:11|2015-04-21 04:35:12|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150421t043536_20150421t043601_005577_00722e_001@scaled|2015-04-21 04:35:36|2015-04-21 04:35:37|-8.76044228162709|-26.725996454715|7.36208813629047|8.76057017258214|2.02352898438823|4.09466955065925|-23.0984797266696|-9177667.10573186|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150426t044346_20150426t044411_005650_0073f0_001@scaled|2015-04-26 04:43:46|2015-04-26 04:43:47|-8.34315481859819|-25.8887623192119|22.579322599084|8.34552502683614|2.0179552732425|4.07214348480721|-24.1869570578286|-8740430.82159538|11046393|12094010|1047617
db_s1a_iw_grd_vv_20150503t043512_20150503t043537_005752_007630_001@scaled|2015-05-03 04:35:12|2015-05-03 04:35:13|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150503t043537_20150503t043602_005752_007630_001@scaled|2015-05-03 04:35:37|2015-05-03 04:35:38|-8.79086224612727|-23.7768190336983|6.98623905676467|8.7910103791258|2.06937001880595|4.28229227473295|-23.5400118994879|-9209535.85146133|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150506t161044_20150506t161109_005803_00775a_001@scaled|2015-05-06 16:10:44|2015-05-06 16:10:45|-7.61822012453113|-26.994875563106|3.71723245248091|7.61825075400076|1.97769037850027|3.91125923321254|-25.9600056991263|-7981045.47618205|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150508t044322_20150508t044347_005825_0077e8_001@scaled|2015-05-08 04:43:22|2015-05-08 04:43:23|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150518t161033_20150518t161058_005978_007b4f_001@scaled|2015-05-18 16:10:33|2015-05-18 16:10:34|-8.48756317794432|-24.4321003097927|1.69572818029644|8.4875743436764|2.02288597879551|4.09206768320748|-23.8335307365035|-8891791.86185709|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150520t044323_20150520t044348_006000_007bc5_001@scaled|2015-05-20 04:43:23|2015-05-20 04:43:24|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150601t044343_20150601t044408_006175_0080a1_001@scaled|2015-06-01 04:43:43|2015-06-01 04:43:44|-8.38373591150923|-22.5737872535419|22.2470404563504|8.3860367148781|2.10420638149804|4.42768449593706|-25.098672044397|-8782994.56682304|11046387|12094010|1047623
db_s1a_iw_grd_vv_20150608t043540_20150608t043605_006277_0083a6_001@scaled|2015-06-08 04:35:40|2015-06-08 04:35:41|-8.74311566856696|-22.6245683807131|5.41311794669485|8.74321127993018|2.15441260962704|4.64149369252|-24.6412456531089|-9159515.29539813|11046384|12094010|1047626
