id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20150714t043515_20150714t043540_006802_009268_002@scaled|2015-07-14 04:35:15|2015-07-14 04:35:16|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150714t043540_20150714t043605_006802_009268_002@scaled|2015-07-14 04:35:40|2015-07-14 04:35:41|-15.4236727307034|-58.0818511301536|5.33969193161166|15.4237271896902|2.23583095981951|4.99894008088743|-14.4960995922114|-16158209.7208304|11046386|12094010|1047624
db_s1a_iw_grd_vh_20150726t043516_20150726t043541_006977_009761_002@scaled|2015-07-26 04:35:16|2015-07-26 04:35:17|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150812t044346_20150812t044411_007225_009e22_002@scaled|2015-08-12 04:43:46|2015-08-12 04:43:47|-15.0976731016015|-44.1309600988106|7.97655185326233|15.0978138837686|2.27108761939518|5.15783897497008|-15.0426334184853|-15816594.0993536|11046392|12094010|1047618
db_s1a_iw_grd_vh_20150819t043518_20150819t043543_007327_00a0f8_002@scaled|2015-08-19 04:35:18|2015-08-19 04:35:19|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150827t161844_20150827t161909_007451_00a445_002@scaled|2015-08-27 16:18:44|2015-08-27 16:18:45|-16.2917625632749|-74.2623508667313|-4.88375392578985|16.2917625632749|2.92365181254923|8.54773992102242|-17.9455832430296|-796357.645855439|12045129|12094010|48881
db_s1a_iw_grd_vh_20150827t161909_20150827t161934_007451_00a445_002@scaled|2015-08-27 16:19:09|2015-08-27 16:19:10|-15.8272478290151|-85.0191175229831|-7.3714634772967|15.8272478290151|2.91780357853706|8.51357772292365|-18.4353186988582|-4330461.62400117|11820402|12094010|273608
db_s1a_iw_grd_vh_20150908t161845_20150908t161910_007626_00a909_002@scaled|2015-09-08 16:18:45|2015-09-08 16:18:46|-16.1743837099149|-75.2577916961657|-6.01269790774603|16.1743837099149|2.74669314596677|7.54432323810081|-16.9817483944259|-792059.570274534|12045040|12094010|48970
db_s1a_iw_grd_vh_20150912t043519_20150912t043544_007677_00aa81_002@scaled|2015-09-12 04:35:19|2015-09-12 04:35:20|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150920t161910_20150920t161935_007801_00adb0_002@scaled|2015-09-20 16:19:10|2015-09-20 16:19:11|-15.5388400781338|-86.0034625956324|-7.60976734539076|15.5388400781338|2.78814437376103|7.77374904893527|-17.9430662761276|-4072683.36795863|11831913|12094010|262097
